Date, Open, High, Low, Close
03/01/24, 7630.02, 7695.61, 7630.02, 7682.50
02/29/24, 7624.98, 7677.69, 7622.87, 7630.02
02/28/24, 7683.02, 7693.18, 7620.37, 7624.98
02/27/24, 7684.30, 7698.29, 7669.71, 7683.02
02/26/24, 7706.28, 7710.78, 7676.75, 7684.30
02/23/24, 7684.49, 7713.39, 7675.19, 7706.28
02/22/24, 7662.51, 7702.86, 7651.65, 7684.49
02/21/24, 7719.21, 7719.21, 7642.75, 7662.51
02/20/24, 7728.50, 7748.73, 7705.98, 7719.21
02/19/24, 7711.71, 7733.54, 7692.48, 7728.50
02/16/24, 7597.53, 7720.72, 7597.53, 7711.71
02/15/24, 7568.40, 7612.34, 7562.10, 7597.53
02/14/24, 7512.28, 7590.13, 7512.28, 7568.40
02/13/24, 7573.69, 7585.31, 7492.98, 7512.28
02/12/24, 7572.58, 7590.45, 7555.47, 7573.69
02/09/24, 7595.48, 7608.74, 7557.35, 7572.58
02/08/24, 7628.75, 7653.40, 7593.57, 7595.48
02/07/24, 7681.01, 7694.90, 7626.23, 7628.75
02/06/24, 7612.86, 7693.60, 7612.86, 7681.01
02/05/24, 7615.54, 7667.82, 7598.66, 7612.86
02/02/24, 7622.16, 7670.91, 7609.29, 7615.54
02/01/24, 7630.57, 7673.67, 7607.90, 7622.16
01/31/24, 7666.31, 7689.69, 7630.57, 7630.57
01/30/24, 7632.74, 7684.24, 7632.74, 7666.31
01/29/24, 7635.09, 7664.92, 7630.76, 7632.74
01/26/24, 7529.73, 7651.75, 7529.69, 7635.09
01/25/24, 7527.67, 7544.46, 7507.03, 7529.73
01/24/24, 7485.73, 7538.89, 7485.73, 7527.67
01/23/24, 7487.71, 7525.13, 7465.12, 7485.73
01/22/24, 7461.93, 7503.61, 7455.97, 7487.71
01/19/24, 7459.09, 7521.05, 7450.86, 7461.93
01/18/24, 7446.29, 7471.66, 7426.60, 7459.09
01/17/24, 7558.34, 7558.34, 7404.08, 7446.29
01/16/24, 7594.91, 7594.91, 7538.85, 7558.34
01/15/24, 7624.93, 7637.79, 7578.33, 7594.91
01/12/24, 7576.59, 7655.19, 7576.59, 7624.93
01/11/24, 7651.76, 7693.90, 7576.59, 7576.59
01/10/24, 7683.96, 7683.96, 7647.37, 7651.76
01/09/24, 7694.19, 7717.50, 7675.07, 7683.96
01/08/24, 7689.61, 7694.19, 7636.05, 7694.19
01/05/24, 7723.07, 7723.07, 7642.86, 7689.61
01/04/24, 7682.33, 7728.17, 7678.84, 7723.07
01/03/24, 7721.52, 7744.55, 7650.30, 7682.33
01/02/24, 7733.24, 7764.37, 7689.02, 7721.52
12/29/23, 7722.74, 7746.91, 7719.02, 7733.24
12/28/23, 7724.95, 7745.99, 7708.74, 7722.74
12/27/23, 7697.51, 7759.74, 7697.51, 7724.95
12/22/23, 7694.73, 7715.21, 7676.43, 7697.51
12/21/23, 7715.68, 7715.68, 7668.41, 7694.73
12/20/23, 7638.03, 7762.88, 7637.93, 7715.68
12/19/23, 7614.48, 7642.15, 7605.35, 7638.03
12/18/23, 7576.36, 7630.57, 7557.24, 7614.48
12/15/23, 7648.98, 7668.22, 7569.00, 7576.36
12/14/23, 7548.44, 7724.81, 7548.44, 7648.98
12/13/23, 7542.77, 7584.88, 7542.68, 7548.44
12/12/23, 7544.89, 7607.51, 7542.37, 7542.77
12/11/23, 7554.47, 7557.40, 7493.59, 7544.89
12/08/23, 7513.72, 7581.32, 7509.83, 7554.47
12/07/23, 7515.38, 7523.57, 7480.49, 7513.72
12/06/23, 7489.84, 7542.57, 7486.80, 7515.38
12/05/23, 7512.96, 7512.96, 7460.21, 7489.84
12/04/23, 7529.35, 7533.81, 7476.85, 7512.96
12/01/23, 7453.75, 7538.71, 7453.75, 7529.35
11/30/23, 7423.46, 7497.68, 7387.09, 7453.75
11/29/23, 7455.24, 7457.48, 7408.79, 7423.46
11/28/23, 7460.70, 7461.13, 7403.25, 7455.24
11/27/23, 7488.20, 7488.26, 7452.18, 7460.70
11/24/23, 7483.58, 7494.72, 7450.12, 7488.20
11/23/23, 7469.51, 7494.77, 7450.60, 7483.58
11/22/23, 7481.99, 7504.51, 7452.00, 7469.51
11/21/23, 7496.36, 7496.86, 7446.68, 7481.99
11/20/23, 7504.25, 7506.00, 7472.65, 7496.36
11/17/23, 7410.97, 7509.00, 7410.00, 7504.25
11/16/23, 7486.91, 7492.84, 7409.40, 7410.97
11/15/23, 7440.47, 7533.77, 7440.47, 7486.91
11/14/23, 7425.83, 7456.63, 7386.66, 7440.47
11/13/23, 7360.55, 7426.14, 7360.55, 7425.83
11/10/23, 7455.67, 7455.67, 7319.96, 7360.55
11/09/23, 7401.72, 7465.31, 7367.21, 7455.67
11/08/23, 7410.04, 7442.09, 7384.51, 7401.72
11/07/23, 7417.76, 7431.14, 7397.40, 7410.04
11/06/23, 7417.73, 7448.36, 7403.51, 7417.76
11/03/23, 7446.53, 7482.73, 7396.57, 7417.73
11/02/23, 7342.43, 7469.75, 7342.43, 7446.53
11/01/23, 7321.72, 7385.39, 7304.89, 7342.43
10/31/23, 7327.39, 7373.53, 7309.04, 7321.72
10/30/23, 7291.28, 7361.50, 7291.28, 7327.39
10/27/23, 7354.57, 7380.33, 7279.86, 7291.28
10/26/23, 7414.34, 7414.34, 7342.48, 7354.57
10/25/23, 7389.70, 7428.11, 7368.38, 7414.34
10/24/23, 7374.83, 7405.26, 7324.99, 7389.70
10/23/23, 7402.14, 7402.20, 7338.59, 7374.83
10/20/23, 7499.53, 7499.62, 7395.57, 7402.14
10/19/23, 7588.00, 7588.00, 7490.46, 7499.53
10/18/23, 7675.21, 7681.50, 7579.26, 7588.00
10/17/23, 7630.63, 7682.63, 7616.77, 7675.21
10/16/23, 7599.60, 7651.27, 7584.64, 7630.63
10/13/23, 7644.78, 7660.05, 7590.72, 7599.60
10/12/23, 7620.03, 7687.91, 7620.03, 7644.78
10/11/23, 7628.21, 7651.98, 7608.67, 7620.03
10/10/23, 7492.21, 7637.41, 7492.21, 7628.21
10/09/23, 7494.58, 7540.57, 7473.19, 7492.21
10/06/23, 7451.54, 7496.42, 7423.36, 7494.58
10/05/23, 7412.45, 7488.60, 7409.74, 7451.54
10/04/23, 7470.16, 7490.18, 7384.20, 7412.45
10/03/23, 7510.72, 7545.67, 7466.62, 7470.16
10/02/23, 7608.08, 7630.41, 7491.30, 7510.72
09/29/23, 7601.85, 7674.19, 7601.85, 7608.08
09/28/23, 7593.22, 7605.55, 7524.11, 7601.85
09/27/23, 7625.72, 7645.55, 7577.23, 7593.22
09/26/23, 7623.99, 7656.94, 7593.54, 7625.72
09/25/23, 7683.91, 7684.82, 7580.81, 7623.99
09/22/23, 7678.62, 7735.16, 7640.80, 7683.91
09/21/23, 7731.65, 7746.53, 7674.70, 7678.62
09/20/23, 7660.20, 7741.90, 7659.61, 7731.65
09/19/23, 7652.94, 7682.38, 7642.36, 7660.20
09/18/23, 7711.38, 7720.14, 7641.76, 7652.94
09/15/23, 7673.08, 7745.82, 7673.08, 7711.38
09/14/23, 7525.99, 7686.96, 7525.99, 7673.08
09/13/23, 7527.53, 7545.16, 7490.37, 7525.99
09/12/23, 7496.87, 7550.24, 7496.34, 7527.53
09/11/23, 7478.19, 7549.34, 7467.35, 7496.87
09/08/23, 7441.72, 7480.64, 7402.10, 7478.19
09/07/23, 7426.14, 7462.18, 7385.92, 7441.72
09/06/23, 7437.93, 7447.94, 7369.64, 7426.14
09/05/23, 7452.76, 7481.35, 7389.80, 7437.93
09/04/23, 7464.54, 7523.40, 7448.31, 7452.76
09/01/23, 7439.13, 7492.63, 7439.13, 7464.54
08/31/23, 7473.67, 7500.44, 7439.13, 7439.13
08/30/23, 7464.99, 7509.36, 7464.73, 7473.67
08/29/23, 7338.58, 7471.14, 7338.58, 7464.99
08/25/23, 7333.63, 7389.40, 7326.97, 7338.58
08/24/23, 7320.53, 7386.08, 7320.53, 7333.63
08/23/23, 7270.76, 7348.84, 7270.76, 7320.53
08/22/23, 7257.82, 7310.52, 7257.58, 7270.76
08/21/23, 7262.43, 7315.97, 7250.88, 7257.82
08/18/23, 7310.21, 7310.21, 7215.76, 7262.43
08/17/23, 7356.88, 7356.96, 7305.00, 7310.21
08/16/23, 7389.64, 7398.20, 7338.53, 7356.88
08/15/23, 7507.15, 7508.58, 7369.69, 7389.64
08/14/23, 7524.16, 7530.25, 7476.45, 7507.15
08/11/23, 7618.60, 7618.60, 7507.84, 7524.16
08/10/23, 7587.30, 7622.92, 7572.61, 7618.60
08/09/23, 7527.42, 7600.79, 7527.42, 7587.30
08/08/23, 7554.49, 7554.49, 7487.47, 7527.42
08/07/23, 7564.37, 7564.95, 7505.15, 7554.49
08/04/23, 7529.16, 7569.55, 7487.36, 7564.37
08/03/23, 7561.63, 7562.13, 7437.88, 7529.16
08/02/23, 7666.27, 7666.27, 7522.24, 7561.63
08/01/23, 7699.41, 7715.24, 7650.15, 7666.27
07/31/23, 7694.27, 7722.92, 7667.81, 7699.41
07/28/23, 7692.76, 7716.82, 7680.19, 7694.27
07/27/23, 7676.89, 7709.66, 7662.40, 7692.76
07/26/23, 7691.80, 7702.74, 7630.00, 7676.89
07/25/23, 7678.59, 7702.35, 7676.50, 7691.80
07/24/23, 7663.73, 7684.97, 7633.29, 7678.59
07/21/23, 7646.05, 7674.23, 7639.45, 7663.73
07/20/23, 7588.20, 7661.87, 7585.85, 7646.05
07/19/23, 7453.69, 7625.14, 7453.69, 7588.20
07/18/23, 7406.42, 7459.15, 7398.53, 7453.69
07/17/23, 7434.57, 7437.61, 7395.67, 7406.42
07/14/23, 7440.21, 7480.43, 7421.31, 7434.57
07/13/23, 7416.11, 7457.20, 7409.25, 7440.21
07/12/23, 7282.52, 7425.10, 7282.52, 7416.11
07/11/23, 7273.79, 7285.33, 7239.23, 7282.52
07/10/23, 7256.94, 7306.09, 7238.72, 7273.79
07/07/23, 7280.50, 7280.50, 7229.57, 7256.94
07/06/23, 7442.10, 7442.10, 7267.62, 7280.50
07/05/23, 7519.72, 7519.72, 7434.66, 7442.10
07/04/23, 7527.26, 7547.38, 7518.36, 7519.72
07/03/23, 7531.53, 7561.26, 7513.93, 7527.26
06/30/23, 7471.69, 7551.59, 7471.69, 7531.53
06/29/23, 7500.49, 7505.61, 7460.53, 7471.69
06/28/23, 7461.46, 7518.33, 7461.46, 7500.49
06/27/23, 7453.58, 7495.88, 7428.11, 7461.46
06/26/23, 7461.87, 7476.45, 7401.18, 7453.58
06/23/23, 7502.03, 7502.03, 7439.72, 7461.87
06/22/23, 7559.18, 7559.18, 7458.35, 7502.03
06/21/23, 7569.31, 7577.60, 7520.92, 7559.18
06/20/23, 7588.48, 7607.53, 7566.33, 7569.31
06/19/23, 7642.72, 7642.72, 7581.84, 7588.48
06/16/23, 7628.26, 7687.61, 7627.83, 7642.72
06/15/23, 7602.74, 7632.67, 7584.78, 7628.26
06/14/23, 7594.78, 7639.79, 7579.27, 7602.74
06/13/23, 7570.69, 7610.77, 7556.32, 7594.78
06/12/23, 7562.36, 7599.87, 7556.81, 7570.69
06/09/23, 7599.74, 7621.72, 7546.50, 7562.36
06/08/23, 7624.34, 7638.61, 7587.99, 7599.74
06/07/23, 7628.10, 7642.40, 7604.42, 7624.34
06/06/23, 7599.99, 7636.06, 7556.16, 7628.10
06/05/23, 7607.28, 7654.84, 7594.13, 7599.99
06/02/23, 7490.27, 7614.89, 7490.02, 7607.28
06/01/23, 7446.14, 7498.59, 7445.30, 7490.27
05/31/23, 7522.07, 7522.07, 7446.14, 7446.14
05/30/23, 7627.20, 7628.12, 7516.52, 7522.07
05/26/23, 7570.87, 7643.56, 7556.92, 7627.20
05/25/23, 7627.10, 7629.08, 7569.17, 7570.87
05/24/23, 7762.95, 7762.95, 7590.24, 7627.10
05/23/23, 7770.99, 7800.85, 7747.09, 7762.95
05/22/23, 7756.87, 7783.40, 7750.53, 7770.99
05/19/23, 7742.30, 7790.92, 7742.13, 7756.87
05/18/23, 7723.23, 7776.58, 7723.23, 7742.30
05/17/23, 7751.08, 7758.15, 7713.03, 7723.23
05/16/23, 7777.70, 7804.93, 7741.29, 7751.08
05/15/23, 7754.62, 7794.89, 7754.62, 7777.70
05/12/23, 7730.58, 7772.79, 7729.01, 7754.62
05/11/23, 7741.33, 7784.28, 7679.61, 7730.58
05/10/23, 7764.09, 7778.98, 7727.12, 7741.33
05/09/23, 7778.38, 7792.35, 7735.08, 7764.09
05/05/23, 7702.64, 7781.54, 7702.64, 7778.38
05/04/23, 7788.37, 7788.37, 7691.25, 7702.64
05/03/23, 7773.03, 7819.66, 7773.03, 7788.37
05/02/23, 7870.57, 7898.69, 7773.03, 7773.03
04/28/23, 7831.58, 7870.57, 7791.63, 7870.57
04/27/23, 7852.64, 7865.73, 7816.83, 7831.58
04/26/23, 7891.13, 7893.95, 7825.93, 7852.64
04/25/23, 7912.20, 7912.52, 7863.85, 7891.13
04/24/23, 7914.13, 7927.11, 7877.58, 7912.20
04/21/23, 7902.61, 7936.11, 7886.46, 7914.13
04/20/23, 7898.77, 7902.95, 7876.35, 7902.61
04/19/23, 7909.44, 7909.44, 7871.43, 7898.77
04/18/23, 7879.51, 7912.73, 7879.51, 7909.44
04/17/23, 7871.91, 7916.67, 7871.91, 7879.51
04/14/23, 7843.38, 7904.04, 7843.38, 7871.91
04/13/23, 7824.84, 7851.57, 7814.11, 7843.38
04/12/23, 7785.72, 7859.67, 7783.40, 7824.84
04/11/23, 7741.56, 7806.39, 7741.56, 7785.72
04/06/23, 7662.94, 7742.11, 7654.54, 7741.56
04/05/23, 7634.52, 7678.45, 7634.26, 7662.94
04/04/23, 7673.00, 7726.85, 7634.52, 7634.52
04/03/23, 7631.74, 7698.15, 7631.74, 7673.00
03/31/23, 7620.43, 7654.41, 7616.09, 7631.74
03/30/23, 7564.27, 7638.49, 7564.27, 7620.43
03/29/23, 7484.25, 7566.80, 7484.21, 7564.27
03/28/23, 7471.77, 7524.55, 7464.61, 7484.25
03/27/23, 7405.45, 7491.74, 7405.45, 7471.77
03/24/23, 7499.60, 7499.60, 7335.71, 7405.45
03/23/23, 7566.84, 7566.84, 7476.13, 7499.60
03/22/23, 7536.22, 7585.57, 7505.48, 7566.84
03/21/23, 7403.85, 7557.55, 7403.85, 7536.22
03/20/23, 7335.40, 7426.24, 7206.82, 7403.85
03/17/23, 7410.03, 7510.47, 7309.30, 7335.40
03/16/23, 7344.45, 7458.64, 7331.49, 7410.03
03/15/23, 7637.11, 7637.39, 7333.35, 7344.45
03/14/23, 7548.63, 7641.55, 7503.25, 7637.11
03/13/23, 7748.35, 7752.43, 7546.02, 7548.63
03/10/23, 7879.98, 7879.98, 7708.32, 7748.35
03/09/23, 7929.92, 7930.26, 7862.01, 7879.98
03/08/23, 7919.48, 7946.62, 7891.42, 7929.92
03/07/23, 7929.79, 7959.77, 7909.77, 7919.48
03/06/23, 7947.11, 7948.67, 7897.45, 7929.79
03/03/23, 7944.04, 7974.40, 7920.07, 7947.11
03/02/23, 7914.93, 7945.82, 7875.03, 7944.04
03/01/23, 7876.28, 7950.69, 7874.34, 7914.93
02/28/23, 7935.11, 7935.11, 7854.82, 7876.28
02/27/23, 7878.66, 7949.97, 7878.66, 7935.11
02/24/23, 7907.72, 7939.17, 7870.39, 7878.66
02/23/23, 7930.63, 7935.56, 7888.88, 7907.72
02/22/23, 7977.75, 7977.75, 7879.03, 7930.63
02/21/23, 8014.31, 8014.40, 7952.48, 7977.75
02/20/23, 8004.36, 8020.13, 7995.46, 8014.31
02/17/23, 8012.53, 8012.53, 7957.69, 8004.36
02/16/23, 7997.83, 8047.06, 7978.61, 8012.53
02/15/23, 7953.85, 8003.65, 7921.32, 7997.83
02/14/23, 7947.60, 7996.35, 7947.60, 7953.85
02/13/23, 7882.45, 7947.60, 7881.86, 7947.60
02/10/23, 7911.15, 7913.31, 7850.94, 7882.45
02/09/23, 7885.17, 7949.57, 7874.23, 7911.15
02/08/23, 7864.71, 7934.30, 7864.66, 7885.17
02/07/23, 7836.71, 7890.82, 7835.36, 7864.71
02/06/23, 7901.80, 7901.80, 7808.39, 7836.71
02/03/23, 7820.16, 7906.58, 7806.85, 7901.80
02/02/23, 7761.11, 7837.84, 7758.51, 7820.16
02/01/23, 7771.70, 7798.51, 7745.43, 7761.11
01/31/23, 7784.87, 7784.87, 7708.34, 7771.70
01/30/23, 7765.15, 7790.69, 7718.33, 7784.87
01/27/23, 7761.11, 7777.40, 7742.12, 7765.15
01/26/23, 7744.87, 7787.57, 7744.87, 7761.11
01/25/23, 7757.36, 7773.57, 7710.78, 7744.87
01/24/23, 7784.67, 7800.89, 7741.75, 7757.36
01/23/23, 7770.59, 7811.17, 7768.47, 7784.67
01/20/23, 7747.29, 7790.87, 7747.29, 7770.59
01/19/23, 7830.70, 7830.80, 7726.23, 7747.29
01/18/23, 7851.03, 7867.43, 7824.73, 7830.70
01/17/23, 7860.07, 7875.58, 7830.35, 7851.03
01/16/23, 7844.07, 7867.23, 7841.91, 7860.07
01/13/23, 7794.04, 7864.95, 7793.55, 7844.07
01/12/23, 7724.98, 7809.13, 7724.55, 7794.04
01/11/23, 7694.49, 7772.37, 7694.35, 7724.98
01/10/23, 7724.94, 7724.94, 7684.35, 7694.49
01/09/23, 7699.49, 7725.74, 7688.69, 7724.94
01/06/23, 7633.45, 7700.81, 7633.45, 7699.49
01/05/23, 7585.19, 7658.79, 7564.70, 7633.45
01/04/23, 7554.09, 7609.25, 7545.18, 7585.19
01/03/23, 7451.74, 7626.40, 7448.69, 7554.09
12/30/22, 7512.72, 7512.92, 7451.74, 7451.74
12/29/22, 7497.19, 7516.36, 7434.64, 7512.72
12/28/22, 7473.01, 7547.00, 7473.01, 7497.19
12/27/22, 7473.01, 7473.01, 7473.01, 7473.01
12/26/22, 7473.01, 7473.01, 7473.01, 7473.01
12/23/22, 7469.28, 7496.40, 7462.80, 7473.01
12/22/22, 7497.32, 7540.31, 7463.54, 7469.28
12/21/22, 7370.62, 7498.48, 7368.72, 7497.32
12/20/22, 7361.31, 7389.92, 7302.82, 7370.62
12/19/22, 7332.12, 7385.38, 7332.12, 7361.31
12/16/22, 7426.17, 7429.29, 7305.72, 7332.12
12/15/22, 7495.93, 7495.93, 7411.07, 7426.17
12/14/22, 7502.89, 7504.49, 7461.68, 7495.93
12/13/22, 7445.97, 7553.36, 7428.98, 7502.89
12/12/22, 7476.63, 7476.63, 7438.87, 7445.97
12/09/22, 7472.17, 7498.04, 7431.44, 7476.63
12/08/22, 7489.19, 7507.98, 7469.12, 7472.17
12/07/22, 7521.39, 7567.23, 7489.19, 7489.19
12/06/22, 7567.54, 7567.64, 7521.39, 7521.39
12/05/22, 7556.23, 7598.21, 7547.76, 7567.54
12/02/22, 7558.49, 7570.46, 7507.98, 7556.23
12/01/22, 7573.05, 7599.70, 7552.29, 7558.49
11/30/22, 7512.00, 7599.27, 7512.00, 7573.05
11/29/22, 7474.02, 7543.09, 7473.99, 7512.00
11/28/22, 7486.67, 7496.80, 7420.00, 7474.02
11/25/22, 7466.60, 7497.23, 7461.78, 7486.67
11/24/22, 7465.24, 7488.07, 7443.46, 7466.60
11/23/22, 7452.84, 7498.34, 7452.84, 7465.24
11/22/22, 7376.85, 7458.88, 7373.56, 7452.84
11/21/22, 7385.52, 7402.79, 7343.37, 7376.85
11/18/22, 7346.54, 7423.51, 7343.50, 7385.52
11/17/22, 7351.19, 7354.07, 7294.75, 7346.54
11/16/22, 7369.44, 7394.42, 7341.59, 7351.19
11/15/22, 7385.17, 7413.01, 7344.85, 7369.44
11/14/22, 7318.04, 7413.82, 7317.57, 7385.17
11/11/22, 7375.34, 7408.61, 7316.84, 7318.04
11/10/22, 7296.25, 7405.09, 7253.36, 7375.34
11/09/22, 7306.14, 7307.80, 7263.46, 7296.25
11/08/22, 7299.99, 7313.46, 7244.83, 7306.14
11/07/22, 7334.84, 7346.66, 7288.00, 7299.99
11/04/22, 7188.63, 7376.23, 7188.63, 7334.84
11/03/22, 7144.14, 7188.63, 7076.47, 7188.63
11/02/22, 7186.16, 7205.07, 7130.50, 7144.14
11/01/22, 7094.53, 7221.32, 7094.53, 7186.16
10/31/22, 7047.67, 7132.85, 7030.12, 7094.53
10/28/22, 7073.69, 7073.69, 6997.54, 7047.67
10/27/22, 7056.07, 7093.05, 7034.24, 7073.69
10/26/22, 7013.48, 7057.42, 6960.11, 7056.07
10/25/22, 7013.99, 7025.22, 6949.24, 7013.48
10/24/22, 6969.73, 7047.37, 6914.66, 7013.99
10/21/22, 6943.91, 6976.19, 6864.13, 6969.73
10/20/22, 6924.99, 6954.21, 6894.85, 6943.91
10/19/22, 6936.74, 6968.33, 6890.66, 6924.99
10/18/22, 6920.24, 7017.40, 6920.24, 6936.74
10/17/22, 6858.79, 6959.71, 6850.43, 6920.24
10/14/22, 6850.27, 6976.30, 6850.27, 6858.79
10/13/22, 6826.15, 6872.90, 6707.62, 6850.27
10/12/22, 6885.23, 6916.94, 6793.77, 6826.15
10/11/22, 6959.31, 6959.43, 6860.31, 6885.23
10/10/22, 6991.09, 6999.20, 6922.94, 6959.31
10/07/22, 6997.27, 7022.41, 6960.36, 6991.09
10/06/22, 7052.62, 7079.74, 6961.10, 6997.27
10/05/22, 7086.46, 7086.46, 6977.95, 7052.62
10/04/22, 6908.76, 7088.17, 6908.67, 7086.46
10/03/22, 6893.81, 6923.75, 6797.37, 6908.76
09/30/22, 6881.59, 6954.92, 6840.07, 6893.81
09/29/22, 7005.39, 7005.39, 6829.29, 6881.59
09/28/22, 6984.59, 7011.50, 6836.28, 7005.39
09/27/22, 7020.95, 7073.96, 6984.59, 6984.59
09/26/22, 7018.60, 7071.11, 6937.40, 7020.95
09/23/22, 7159.52, 7169.12, 6981.50, 7018.60
09/22/22, 7237.64, 7243.90, 7149.59, 7159.52
09/21/22, 7192.66, 7258.87, 7170.69, 7237.64
09/20/22, 7236.68, 7326.54, 7171.24, 7192.66
09/16/22, 7282.07, 7297.10, 7236.17, 7236.68
09/15/22, 7277.30, 7329.00, 7258.67, 7282.07
09/14/22, 7385.86, 7385.86, 7259.24, 7277.30
09/13/22, 7473.03, 7514.04, 7385.86, 7385.86
09/12/22, 7351.07, 7483.00, 7351.07, 7473.03
09/09/22, 7262.06, 7386.59, 7262.06, 7351.07
09/08/22, 7237.83, 7273.01, 7175.75, 7262.06
09/07/22, 7300.44, 7300.44, 7186.56, 7237.83
09/06/22, 7287.43, 7324.19, 7256.51, 7300.44
09/05/22, 7281.19, 7288.46, 7191.17, 7287.43
09/02/22, 7148.50, 7288.72, 7148.50, 7281.19
09/01/22, 7284.15, 7284.15, 7131.69, 7148.50
08/31/22, 7361.63, 7378.44, 7263.62, 7284.15
08/30/22, 7427.31, 7486.40, 7351.12, 7361.63
08/26/22, 7479.74, 7530.65, 7422.02, 7427.31
08/25/22, 7471.51, 7535.70, 7469.17, 7479.74
08/24/22, 7488.11, 7488.12, 7410.40, 7471.51
08/23/22, 7533.79, 7533.79, 7467.56, 7488.11
08/22/22, 7550.37, 7550.41, 7491.26, 7533.79
